Time,Forecasted Price
1663646400000.0,19519.61462519942
1663632000000.0,19535.002528696547
1663617600000.0,19553.72972972973
1663603200000.0,19576.40178419619
1663588800000.0,19603.67842504531
1663574400000.0,19636.252840713823
1663560000000.0,20423.906555542977
1663545600000.0,20369.869559844105
1663531200000.0,20315.521898081635
1663516800000.0,20260.94386168354
1663502400000.0,20206.19746033726
1663488000000.0,20151.3255573128
1663473600000.0,19587.976349494456
1663459200000.0,19585.07863591404
1663444800000.0,19581.73370374753
1663430400000.0,19577.869844928427
1663416000000.0,19573.40307508476
1663401600000.0,19568.23503934581
1663387200000.0,20065.60666459512
1663372800000.0,20029.896866128496
1663358400000.0,19989.638210268942
1663344000000.0,19944.014907771096
1663329600000.0,19891.99846730889
1663315200000.0,19832.26920444016
1663300800000.0,19947.13126064012
1663286400000.0,19934.0462012534
1663272000000.0,19919.90418675853
1663257600000.0,19904.60136747785
1663243200000.0,19888.0211281587
1663228800000.0,19870.03089657965
1663214400000.0,20122.182530655908
1663200000000.0,20139.44654320243
1663185600000.0,20158.38106859089
1663171200000.0,20179.11559528749
1663156800000.0,20201.783239668053
1663142400000.0,20226.519629738104
1663128000000.0,22223.12349936301
1663113600000.0,22233.953274675347
1663099200000.0,22244.661747573944
1663084800000.0,22255.25003433869
1663070400000.0,22233.421181265392
1663056000000.0,22042.65825193187
1663041600000.0,22088.88005296516
1663027200000.0,22134.83729566664
1663012800000.0,21764.14567743145
